,Title,Artist,Lyrics
Say Goodbye (Acoustic),Say Goodbye (Acoustic),Skillet,"Things are changing
It seems strange and I need to figure this out
You've got your life, I've got mine
But you're all I cared about
Yesterday we were laughing
Today I'm left here asking
Where has all the time gone now
I'm left alone somehow
Growing up and getting older
I don't wanna believe it's over
Don't say goodbye
'Cause I don't wanna hear those words tonight
'Cause maybe it's not the end for you and I
And although we knew
This time would come for me and you
Don't say anything tonight
If you're gonna say goodbye
Do you remember, in December
How we swore we'd never change
Even though you're leaving
Our feelings would always stay the same
I wish we could be laughing
Instead, I'm standing here asking
Do we have to end this now?
Can we make it last somehow?
We both know what we've gotta say, not today
'Cause I don't wanna leave this way
Don't say goodbye
'Cause I don't wanna hear those words tonight
'Cause maybe it's not the end for you and I
And although we knew
This time would come for me and you
Don't say anything tonight
If you're gonna say goodbye
And if it's over, it hurts but I'm giving you my word
I hope that you're always
Happy like we were, happy like we were
Don't say goodbye
'Cause I don't wanna hear those words tonight
'Cause maybe it's not the end for you and I
And although we knew
This time would come for me and you
Don't say anything tonight
If you're gonna say goodbye
Yesterday we were laughing
(If you're gonna say goodbye)
Today I am left here asking
(If you're gonna say goodbye)
And although we knew
This time would come for me and you
Don't say anything tonight
If you're gonna say goodbye"
We’re Thirsty,We’re Thirsty,Skillet,"We're Thirsty
(Repeat many times)
We are thirsty"
Dive Over In,Dive Over In,Skillet,"I thought distinctly
Different from now
Wonder dramatically
All about everything always

All my pushing
Becomes nothing I shake the fear

I used to compensate
For what I couldn't achieve
I conquered dreams
Forgetting what they were

All my pushing
Becomes nothing
All my falling
Is into You

Jump over on (Everybody now)
Dive over in (C'mon yea-yea)
Because it's just not enough
To stand at the edge (You gotta dive over in)

Now I am voiceless
Senseless at Your mercy
You draw me wildly
All my remainder

All my pushing
Becomes nothing
All my falling
Is into You

Jump over on (Everybody now)
Dive over in (C'mon yeah yeah)
Cause it is just not enough
To stand at the edge (you got to dive over in)

All my pushing
Becomes nothing
All my falling
Is into You

Jump over on (Everybody now)
Dive over in (C'mon yeah yeah)
Cause it is just not enough
To stand at the edge (you got to dive over in)
Jump over on (Everybody now)
Dive over in (C'mon yeah yeah)
Cause it is just not enough
To stand at the edge (you got to dive over in)"
Rebirthing (Comes Alive Version),Rebirthing (Comes Alive Version),Skillet,"I lie here paralytic
Inside this soul
Screaming for you till my throat is numb
I wanna break out I need a way out
I don't believe that it's gotta be this way
The worst is the waiting
In this world I'm suffocating

Feel your presence filling up my lungs with oxygen
I take you in
I've died
:
Rebirthing now
I wanna live for love wanna live for you and me
Breathe for the first time now
I come alive somehow
Rebirthing now
I Wanna live my life wanna give you everything
Breathe for the first time now
I come alive somehow
Right now
Right now
I lie here lifeless
In this cocoon
Shedding my skin cause
I'm ready to
I wanna break out
I found a way out
I don't believe that it's gotta be this way
The worst is the waiting
In this world I'm suffocating

Feel your presence filling up my lungs with oxygen
I take you in
I've died
:
Rebirthing now
I wanna live for love wanna live for you and me
Breathe for the first time now
I come alive somehow
Rebirthing now
I Wanna live my life wanna give you everything
Breathe for the first time now
I've come alive somehow
Tell me when I'm gonna live again
Tell me when I'm gonna breathe you in
Tell me when I'm gonna feel inside
Tell me when I'm gonna feel alive
Tell me when I'm gonna live again
Tell me when this fear will end
Tell me when I'm gonna feel inside
Tell me when I'll feel alive
:
Rebirthing now
I wanna live for love wanna live for you and me
Breathe for the first time now
I come alive somehow
Rebirthing now
I Wanna live my life wanna give you everything
Breathe for the first time now
I've come alive somehow
I've come alive somehow"
Angels Fall Down (Comes Alive Version),Angels Fall Down (Comes Alive Version),Skillet,"You guys feeling hot out there
How about some worship
We've got time for that still

I saw angels fall down
At the glory of the Lord
And as I raise my hands I've seen
I saw angels fall down
At the glory of the Lord
And as I hit the ground I've seen
And I fall down
Afraid and shaking here
And I fall down
I'm perfectly safe in here
And I (and I) fall down
Afraid and shaking here
And I fall down
I'm perfectly safe in here
I'm perfectly safe in here
Oh whoa
I'm perfectly safe in here


Let's lift Him up tonight
He is worthy"
The Older I Get (Acoustic),The Older I Get (Acoustic),Skillet,"The walls between you and I
Always pushing us apart
Nothing left but scars fight after fight
The space between our calm and rage
Started growing shorter
Disappearing slowly day after day
I was sitting there waiting in my room for you
You were waiting for me too
And it makes me wonder
The older I get
Will I get over it?
It's been way too long for the times we missed
I didn't know then it would hurt like this but I think
The older I get
Maybe I'll get over it
It's been way too long for the times we missed
I can't believe it still hurts like this
The time between those cutting words
Built up our defenses
Never made no sense it just made me hurt
Do you believe that time heals all wounds?
It started getting better
But it's easy not to fight when I'm not with you
I was sitting there waiting in my room for you
You were waiting for me too
And it makes me wonder
What was I waiting for
I should've taken less and given you more
I should've weathered the storm
I need to say so bad
What were you waiting for?
This could have been the best we ever had
The older I get
Will I get over it?
It's been way too long for the times we missed
I didn't know then it would hurt like this but I think
The older I get
Maybe I'll get over it
It's been way too long for the times we missed
I can't believe it still hurts like this
Hurts like this
I'm just getting older
I'm not getting over you I'm trying to
I wish it didn't hurt like this
It's been way too long for the times we missed
I can't believe it still hurts like this"
Shovel,Shovel,Skillet,"Ah

You talked a lot about freedom
A sort of happiness is what you claim, yeah
Your thoughts are lined in one direction
Than who you are and what you built

But I can't see
Your foundations hone your expectancy
Your foundations hone your expectancy

But I can't believe what you're sayin' to me
If your kingdom ain't on the Cross
Then your kingdom ain't gonna stand

I talk a lot about the kingdom
And the power of the healing Cross, yeah
And you say you don't see it
It's like Christ is life with the lost

But I can't see, yeah
You're layin' down your expectancy
You're layin' down your expectancy

But I can't believe what you're sayin' to me
If your kingdom ain't on the Cross
Then your kingdom ain't gonna stand
I can't believe what you're shovelin' me
If your kingdom ain't on the Cross
And it never came out of the grave

You  your expectancy
You  your expectancy
Your expectancy is your reality
You're layin' down your expectancy

Yeah yeah"
Untitled Live Track*,Untitled Live Track*,Skillet,
Savior (Comes Alive Version),Savior (Comes Alive Version),Skillet,"Tennessee are you ready to get rowdy

I'm everything you've wanted
I am the one who's haunting you
I am the eyes inside of you
Stare back at you

There's nothing left to lose
There's nothing left to prove
Surrender your love
It's all you can do, yeah

What you got, what you want, what you need, gonna be your savior
Everything's gonna crash and break but I know, yeah, I know
What you got, what you want, what you need, gonna be your savior
Everything's gonna crash and break, your savior

It's time tod redefine
Your deophobic mind
Don't hesitate, no escape
From secrets on the inside

There's nothing left to lose
There's nothing left to prove
Surrender your love
It's all you can do, yeah

What you got, what you want, what you need, gonna be your savior
Everything's gonna crash and break but I know, yeah, I know
What you got, what you want, what you need, gonna be your savior
Everything's gonna crash and break, your savior

I am the eyes inside
Staring back at you
I am the eyes inside
Staring back at you
You need
You need me, yeah
What you got, what you need
Everything's gonna crash and break

What you got, what you need
Everything's gonna crash and break
What you got, what you want, what you need, gonna be your savior
Everything's gonna crash and break but I know, yeah, I know
What you got, what you want, what you need, gonna be your savior
Everything's gonna crash and break, your savior

I'm watching you
Cause you need
Yeah, I'm watching you

Tennessee make some noise"
My Obsession (Comes Alive Version),My Obsession (Comes Alive Version),Skillet,"Your touch, your ways
Leave me dumb without reason
Your love, my cage
My prison's so pleasing
I spend my days
Tangled in thoughts of you
Stuck in this place
Resigned to be your fool
I thirst no longer
Drenching my soul
Pour out like water
You're my only infatuation
Don't leave me stranded in my obsession
My purpose, my possession
Live and die in my obsession, my obsession
Come down to me
Don't ever say that it's over
I kiss your feet
Worship the air you breathe
Your love, my gift
You go and I will follow
My dream, my wish
Don't leave me here so helpless
I thirst no longer
Drenching my soul
Pour out like water
You're my only infatuation
Don't leave me stranded in my obsession
My purpose, my possession
Live and die in my obsession, my obsession
Am I a lunatic?
I'm going crazy
For just a word from
For just a touch from you
And I'm exploding like chemicals
I'm going crazy, can't get enough
And I'm exploding like chemicals
I'm going crazy, can't get enough
I thirst no longer
I thirst, yeah, yeah, yeah
Drenching my soul
Dreanching, eah, eah, yeah
I thirst no longer
Drenching my soul
Pour out like water
You're my only infatuation
Don't leave me stranded in my obsession
My purpose, my possession
Live and die in my obsession
Aaa aaa awo, aaa aaa awo, aaa aaa awo
My obsession
Aaa aaa awo, aaa aaa awo, aaa aaa awo
My obsession, my obsession"
